br_id;brand;art;orgnl;orgnl_id;name;cross;quant;price
01-00064035;MSG;01-04-047;"AUDI ; SEAT ; SKODA ; VW";"54399700084 ; 54399700114 ; 54399700098 ; 54399700094 ; 5439-970-0086 ; 5439-970-0136 ; 03L253056R ; 03L253056D ; 03L253016H ; 03L253016A ; KP39-019";Картридж турбины (отбалансированный) KKK BV39 AUDI A1 (8X1) 10-,A1 Sportback (8XA) 11-,A3 (8P1) 03-1;"1000-030-209T ; KP39-019";1;10 997,00
01-00063999;MSG;01-04-010;"AUDI ; FIAT ; IVECO ; OPEL ; RENAULT ; SEAT ; SKODA ; VW";"5303-970-0066 ; 5303-970-0067 ; 5303-970-0078 ; 5303-970-0089 ; 5303-970-0090 ; 5303-970-0114 ; 5303-970-0115 ; 504136783 ; 504070186 ; 504071262 ; 504078436 ; 504014915 ; 504014911 ; 504136785";Картридж турбины (отбалансированный) KKK K03 AUDI A1 (8X1) 11-,A1 Sportback (8XA) 11-,A3 (8L1) 96-03;"1000-030-110 ; K03-019";2;6 868,00
01-00063992;MSG;01-04-003;"AUDI ; SEAT ; SKODA ; VW";"53039700005 ; 53039700022 ; 06A145703C ; 058145703C ; K03-002";Картридж турбины (отбалансированный) KKK K03 AUDI A4 (8D2, B5) 95-00,A4 (8E2, B6) 00-04,A4 (8EC, B7);"1000-030-005 ; K03-002";1;6 924,00
01-00064013;MSG;01-04-024;MERCEDES-BENZ;"53049700057 ; 6460900380 ; K04-020";Картридж турбины (отбалансированный) KKK K04 MERCEDES-BENZ SPRINTER 3,5 c бортовой платформой/ходова;"1000-030-180 ; K04-020";3;6 637,00
01-00064010;MSG;01-04-021;VW;"5304-970-0032 ; 070145701E ; K04-016";Картридж турбины (отбалансированный) KKK K04 VGT VW MULTIVAN V (7HM, 7HN, 7HF, 7EF, 7EM, 7EN) 03-09,;"1000-030-100 ; K04-016";2;7 908,00
01-00064041;MSG;01-04-053;"JEEP ; MERCEDES-BENZ ; <Пустое значение>";"5304-970-0094 ; 5304-970-0086 ; 5304-970-0085 ; 6510900080";"Картридж турбины (отбалансированный) KKK K04-R2S E-CLASS купе (C207) 14-;JEEP COMPASS (MK49) 10-";;1;11 239,00
01-00064039;MSG;01-04-051;MERCEDES-BENZ;"5304-970-0086 ; 6510906380";Картридж турбины (отбалансированный) KKK K04-R2S MERCEDES-BENZ SPRINTER 3,5 c бортовой платформой/хо;;2;8 564,00
01-00064027;MSG;01-04-039;"AUDI ; FORD ; SEAT ; SKODA ; VW";"54399700009 ; 54399700010 ; 54399700008 ; 54399700007 ; 54399700004 ; 54399700011 ; 54399700024 ; 5439-970-0026 ; 5439-970-0006 ; KP39-003";Картридж турбины (отбалансированный) KKK KP39 AUDI A3 (8L1) 96-03,A3 (8P1) 03-12,A3 Sportback (8PA);"1000-030-105 ; KP39-003";3;6 905,00
01-00064058;MSG;01-05-009;"CITROEN ; FIAT ; IVECO ; PEUGEOT";"504304178 ; 504340178 ; 504092197 ; 504340177 ; 49189-02913 ; 49189-02914 ; 49189-02950 ; 49189-02951 ; TD04-039";Картридж турбины (отбалансированный) MITSUBISHI TD04  CITROEN JUMPER c бортовой платформой/ходовая ч;"1000-050-151 ; TD04-039";1;6 981,00
01-00064067;MSG;01-05-018;"FIAT ; IVECO ; NISSAN ; OPEL ; RENAULT ; VOLVO";"99450704 ; 99455591 ; 99450703 ; 500339215 ; 71723558 ; 99456076 ; 99460981 ; 99466793 ; 500383948 ; 500394810 ; 49135-05010 ; 49135-05000 ; 49135-05020 ; 49135-05030 ; 49135-05040 ; 49135-05050 ; 49135-05090 ; 49135-05080 ; 49135-05060 ; 49135-05070 ; 451246 ; 500362778 ; TF035-008";Картридж турбины (отбалансированный) MITSUBISHI TF035 FIAT DUCATO c бортовой платформой/ходовая част;"1000-050-116 ; TF035-008";1;6 772,00
01-00062139;MSG;GK5350;SMART;"454197-5001S ; 454197-5002S ; 454197-5003S ; 704487-5001S ; 708116-5001S ; 708837-5001S ; 712290-5001S ; 724808-5001S ; 724961-5001S ; 724961-5002S ; 724961-5003S ; 724961-5004S ; 733717-5001S ; A1600960199 ; A1600960299 ; 0003140V013000000 ; 0006314V001000000 ; A1600960599 ; 0007926V002000000 ; A1600960499 ; A1600960699 ; 708837-0001 ; 712290-0001 ; 724961-5002";Комплект прокладок турбины GARRETT GT1238S SMART CABRIO (450) 00-04,CITY-COUPE (450) 98-04,CROSSBLAD;"454197-5001S ; 900-00047-000 ; WG1270287 ; TG4541972 ; TG7081161 ; 454197-5002S ; 454197-5003S ; 704487-5001S ; WG1130881 ; TG7044871 ; 708116-5001S ; 124313 ; 124313SUPERKIT1 ; WG1130908 ; WG1319357 ; V30-8220 ; 333171 ; 660171 ; 166-00475 ; 172-03381 ; 900872 ; 708837-5001S ; 124315 ; 124315KIT001 ; 124315SUPERKIT1 ; WG1130923 ; WG1263247 ; WG1307679 ; V30-8245 ; TG7088371 ; 333267 ; 660267 ; 166-00485 ; 172-03382 ; 222TC14315000 ; 222TL14315000 ; 222TM14315000 ; 900873 ; 712290-5001S ; 125242 ; 125242SUPERKIT1 ; 900-00247-000 ; WG1130959 ; WG1263249 ; TG7122901 ; TG7249612 ; 222TC15242000 ; 222TL15242000 ; 222TM15242000 ; 724961-5002S ; 125242KIT001 ; WG1131057 ; WG1307983 ; V30-8246 ; 334122 ; 660122 ; 900874 ; WG1241533 ; 04-10009-01 ; KT140085 ; JTC11045 ; 724.810 ; 2090-505-350";1;418,00
01-00082036;MSG;GK5436;SMART;"727211-5001 ; A1600960999 ; 727211-0001";Комплект прокладок турбины GARRETT GT1238S SMART CABRIO (450) 03-04,CITY-COUPE (450) 03-04,FORTWO Ca;"2090-505-436 ; JTC11425 ; 790.210 ; 04-10010-01";10;278,00
01-00082014;MSG;GK5023;"AUDI ; SEAT ; SKODA ; VW";"045145701V500 ; 454083-0002 ; 454083-0001 ; 701729-0009 ; 701729-0015 ; 452202-0003 ; PMF100400 ; 028145701Q";Комплект прокладок турбины GARRETT GT1544S AUDI A2 (8Z0) 00-05;"2090-505-023 ; JTC11004 ; 704.010 ; 04-10049-01";9;318,00
01-00082018;MSG;GK5162;RENAULT;"5303-970-0014 ; 700830-0001 ; 7700107795 ; 7700108948";Комплект прокладок турбины GARRETT GT1544S RENAULT ESPACE III (JE0_) 99-02,KANGOO (KC0/1_) 00-,KANGO;"2090-505-162 ; JTC11017 ; 452.650 ; 04-10102-01";3;386,00
01-00082021;MSG;GK5187;FORD;"756919-0002 ; 706499-0004 ; XS4Q-6K682-DB ; 7T1Q-6K682-AB";Комплект прокладок турбины GARRETT GT1544SZ FORD FOCUS (DAW, DBW) 98-04,FOCUS седан (DFW) 99-04,FOCU;"2090-505-187 ; JTC11023 ; 04-10062-01 ; KT130025";9;731,00
01-00062155;MSG;GK5527;"HYUNDAI ; KIA";"740611-5002S ; 282012A400 ; 740611-0003 ; 740611-0002 ; 28201-2A110 ; 28201-2A400";Комплект прокладок турбины GARRETT GT1544V HYUNDAI ACCENT III (MC) 05-,ACCENT седан (MC) 05-,GETZ (T;"740611-5002S ; 127864 ; WG1131120 ; HRX206 ; V52-9571 ; H809I16 ; TG7406111 ; 335738 ; 166-01430 ; 172-12685 ; 900966 ; 900978 ; JTC11544 ; 2090-505-527";5;1 543,00
01-00062121;MSG;GK5170;"CITROEN ; PEUGEOT";"706976-5001S ; 706976-5002S ; 706977-5001S ; 706977-5002S ; 0375C8 ; 9633614180 ; 706977-0002 ; 706977-0003 ; 706976-0002 ; 9622526980";Комплект прокладок турбины GARRETT GT1546S CITROEN BERLINGO (MF) 99-,BERLINGO фургон (M_) 99-,C5 (DC;"706976-5001S ; 124017 ; WG1130898 ; WG1259238 ; WG1319314 ; HRX104 ; TG7069762 ; TG7069772 ; 333202 ; 166-01175 ; 172-05340 ; 031TC14017000 ; 900209 ; WG1307473 ; 706976-5002S ; WG1130899 ; WG1319317 ; TG4651892 ; 706977-5001S ; 124151 ; WG1130900 ; WG1259245 ; WG1319320 ; HRX105 ; TIRHF4VVP1 ; TK53039700009 ; 166-01185 ; 172-02715 ; 172-02715EOL ; 031TC14151000 ; 031TM14151000 ; 02101966 ; 08491963 ; 08492263 ; WG1307579 ; HNX105 ; 706977-5002S ; WG1130901 ; JTC11202 ; 04-10177-01 ; 714.630 ; 2090-505-170";6;596,00
01-00062138;MSG;GK5348;"CITROEN ; FIAT ; LANCIA ; PEUGEOT";"706978-5001S ; 713667-5003S ; 9634521180 ; 9637861280 ; 9644384280 ; 713667-0003 ; 706978-0001";Комплект прокладок турбины GARRETT GT1546S CITROEN EVASION (22, U6) 99-02;"706978-5001S ; 125163 ; WG1130902 ; WG1260349 ; WG1307960 ; HNX120 ; HRX120 ; V42-4146 ; TG7069781 ; 334118 ; 166-01700 ; 172-03375 ; 172-03375EOL ; 039TC15163000 ; 039TM15163000 ; 713667-5003S ; 127420 ; WG1130969 ; WG1257194 ; V24-7124 ; TG7136671 ; 334261 ; 3722031 ; 172-05150 ; 009TC17420000 ; 009TM17420000 ; 900516 ; JTC11348 ; 04-10074-01 ; 714.610 ; 2090-505-348";6;291,00
01-00082016;MSG;GK5029;FORD;"452213-0003 ; 914F-6K682-AG";Комплект прокладок турбины GARRETT GT1549S FORD TRANSIT c бортовой платформой/ходовая часть (E_ _) 9;"2090-505-029 ; JTC11081";1;345,00
