br_id;brand;art;orgnl;orgnl_id;name;cross;quant;price
01-00006170;EMMETEC;VO9021KIT;"FORD ; VOLVO";;Ремкомплект рулевой рейки с ГУР VOLVO S 40 04-,VOLVO V 50 04-,FOCUS C-MAX 03-07,FOCUS II (DA_) 04-,F;AS18646;10;1 460,00
01-00006167;EMMETEC;VO9018KIT;VOLVO;;Ремкомплект рулевой рейки с ГУР VOLVO S 60 00-05, VOLVO S 80 99-06, VOLVO V 70 00-07, VOLVO XC 70 00;;10;1 536,00
01-00006166;EMMETEC;VO9017KIT;VOLVO;;Ремкомплект рулевой рейки с ГУР VOLVO S 80 06-;AS20059;3;1 961,00
01-00006169;EMMETEC;VO9020KIT;VOLVO;;Ремкомплект рулевой рейки с ГУР VOLVO S 80 99-06, S 60 00-05 smi-koyo;AS16115;10;1 930,00
01-00102345;EMMETEC;VO9003KIT;VOLVO;;Ремкомплект рулевой рейки с ГУР VOLVO S80 II 2010-,V70 III 2009-,XC60 2008-,XC70 II 2010-;;10;1 621,00
01-00006164;EMMETEC;VO9015KIT;VOLVO;;Ремкомплект рулевой рейки с ГУР VOLVO XC 90 2002-2006,VOLVO XC 90 2006-,VOLVO S 80 1999-2006;"AG0052 ; AS19857 ; AS19457";10;1 390,00
01-00006162;EMMETEC;VO9013KIT;VOLVO;;Ремкомплект рулевой рейки с ГУР VOLVO XC 90 2002-2014;;10;2 523,00
01-00101471;EMMETEC;VW9012KIT;VW;;Ремкомплект рулевой рейки с ГУР VW BEETLE 2011-,JETTA IV 2010-,PASSAT 2011-;;10;1 322,00
01-00006178;EMMETEC;VW9014KIT;VW;;Ремкомплект рулевой рейки с ГУР VW CADDY 2004-2010 TRW;;10;1 698,00
01-00006173;EMMETEC;VW9002KIT;"SEAT ; VW";1H0498020;Ремкомплект рулевой рейки с ГУР VW Passat 1988-1993,VW Passat 1993-1996,SEAT Cordoba 1993-1999,SEAT;"01216 ; AS10610";10;926,00
01-00006180;EMMETEC;VW9022KIT;VW;;Ремкомплект рулевой рейки с ГУР VW Pointer 2005-;;10;1 485,00
01-00006179;EMMETEC;VW9015KIT;"SEAT ; SKODA ; VW";;Ремкомплект рулевой рейки с ГУР VW Polo 1996-2002;AS13180;10;1 621,00
01-00006174;EMMETEC;VW9005KIT;"FORD ; SEAT ; VW";;Ремкомплект рулевой рейки с ГУР VW Sharan 1996-2000,SEAT Alhambra 1996-2002,FORD Galaxy 1994-2000,VW;"AS12154 ; 15599924";10;1 314,00
01-00006176;EMMETEC;VW9007KIT;VW;;Ремкомплект рулевой рейки с ГУР VW Transporter 1991-2003;"AS12260 ; 15599856 ; AS10815";10;1 508,00
01-00029979;MSG;VW002ROTOR;"SEAT ; SKODA ; VW";;Ротор, рабочая камера и пластины насоса ГУ;;2;1 109,00
01-00026224;MSG;NI001ROTOR;"ALFA ROMEO ; BMW ; CHEVROLET ; CITROEN ; DAEWOO ; FIAT ; FORD ; FORD USA ; HYUNDAI ; INFINITI ; IVECO ; KIA ; MAZDA ; MITSUBISHI ; NISSAN ; OPEL ; PEUGEOT ; RENAULT ; SUBARU ; SUZUKI ; VOLVO ; LINCOLN ; BYD";"49140-15V00 ; 49140-AA300 ; 49140-WF700 ; 49140-VH300 ; 57115-33500 ; 57115-26500 ; 57115-1C300 ; 57115-3A200 ; 57115-02000 ; 57115-3J000 ; 57115-3J100 ; 49140-AE000";Ротор, статор и пластины насоса ГУР ALFA ROMEO,BMW,CHEVROLET,CITROEN,DAEWOO,FIAT,FORD,FORD USA,HYUND;;27;1 287,00
01-00056672;MSG;FO044ROTOR;"ALFA ROMEO ; BMW ; CITROEN ; FIAT ; FORD ; INFINITI ; IVECO ; MAZDA ; MITSUBISHI ; NISSAN ; OPEL ; PEUGEOT ; RENAULT ; SUBARU ; SUZUKI ; UAZ ; VOLVO ; LINCOLN ; FORD USA";49140-CB100;Ротор, статор и пластины насоса ГУР ALFA ROMEO,BMW,CITROEN,FIAT,FORD,INFINITI,IVECO,MAZDA,MITSUBISHI;;10;1 490,00
01-00028469;MSG;DA002ROTOR;"ALFA ROMEO ; CHEVROLET ; CHRYSLER ; CITROEN ; DAEWOO ; FIAT ; FORD ; JEEP ; LANCIA ; OPEL ; PEUGEOT ; RENAULT ; SAAB ; SEAT ; SKODA ; SSANGYONG ; VOLVO ; VW ; GAZ";;Ротор, статор и пластины насоса ГУР ALFA ROMEO,CHEVROLET,CITROEN,DAEWOO,FIAT,FORD,GAZ,JEEP,LANCIA,OP;;2;951,00
01-00101577;MSG;OP006ROTOR;"CITROEN ; DACIA ; NISSAN ; OPEL ; RENAULT ; VOLVO";;Ротор, статор и пластины насоса ГУР ALFA ROMEO,CITROEN,DACIA,FIAT,LANCIA,NISSAN,OPEL,PEUGEOT,RENAUL;;2;1 490,00
